[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 11     | 1        | 4        | 13200    | 1.0000 | 9     | +156.78  
Computing | 11     | 1        | 4        | 13200    | 1.0000 | 9     | +156.78  
Sampling  | 11     | 1        | 4        | 13300    | 1.0000 | 9     | +156.73  
Computing | 11     | 1        | 4        | 13300    | 1.0000 | 9     | +156.73  
Sampling  | 11     | 1        | 4        | 13400    | 1.0000 | 10    | +156.70  
Computing | 11     | 1        | 4        | 13400    | 1.0000 | 10    | +156.70  
Sampling  | 11     | 1        | 4        | 13500    | 1.0000 | 10    | +156.99  
Computing | 11     | 1        | 4        | 13500    | 1.0000 | 10    | +156.99  
Bounding  | 11     | 1        | 4        | 13600    | 1.0000 | 10    | +156.95  
Sampling  | 12     | 1        | 4        | 13600    | 1.0000 | 50    | +115.99  
Computing | 12     | 1        | 4        | 13600    | 1.0000 | 50    | +115.99  
Sampling  | 12     | 1        | 4        | 13700    | 1.0000 | 10    | +156.91  
Computing | 12     | 1        | 4        | 13700    | 1.0000 | 10    | +156.91  
Sampling  | 12     | 1        | 4        | 13800    | 1.0000 | 12    | +156.93  
Computing | 12     | 1        | 4        | 13800    | 1.0000 | 12    | +156.93  
Sampling  | 12     | 1        | 4        | 13900    | 1.0000 | 12    | +156.88  
Computing | 12     | 1        | 4        | 13900    | 1.0000 | 12    | +156.88  
Sampling  | 12     | 1        | 4        | 14000    | 1.0000 | 13    | +156.93  
Computing | 12     | 1        | 4        | 14000    | 1.0000 | 13    | +156.93  
Sampling  | 12     | 1        | 4        | 14100    | 1.0000 | 14    | +156.87  
Computing | 12     | 1        | 4        | 14100    | 1.0000 | 14    | +156.87  
Sampling  | 12     | 1        | 4        | 14200    | 1.0000 | 14    | +156.80  
Computing | 12     | 1        | 4        | 14200    | 1.0000 | 14    | +156.80  
Sampling  | 12     | 1        | 4        | 14300    | 1.0000 | 15    | +156.85  
